All combined effects
List of cost point by point, but without normalization per variable
time	variable	simulation	data	stddev	localCost
55		0	SP8stage69lo
56		0	SP4tot2St
57		0	SP8tot2St
58		0	floweDNtoeDP
59		0	floweDPtolDP
60		0	flowDPtoSP4
61		0	flowDPtoSP8
62		0	flowDPtoTconv
63		0	flowDPtoTregP1
64		0	flowDPtoTregP2
65		0	flowTregP1toTreg
66		0	flowTregP2toTreg
67		0	flowSP4toOut
68		0	flowSP8toOut
69		0	flowTregtoOut
70		0	floweDPtoDead
71		0	flowlDPtoDead
72		0	flowSP4toDead
73		0	flowSP8toDead
74		0	flowTconvtoDead
75		0	flowTregP1toDead
76		0	flowTregP2toDead
77		0	flowTregtoDead
78		0	divDNg0
79		0	divDNg1
80		0	divDNg2
81		0	divDNg3
82		0	divDNg4
83		0	divDNg5
84		0	divDNg6
85		0	divDNg7
86		0	divDNg8
87		0	divDNg9
88		0	divDNg10
89		0	divDNg11
90		0	divDNg12
91		0	divDNg13
92		0	divDNg14
93		0	divDNg15
94		0	divDNg16
95		0	divDNg17
96		0	divDNg18
97		0	divDNg19
98		0	divDNg20
99		0	divDNg21
100		0	divDNg22
101		0	divDNg23
102		0	divDNg24
103		0	divDNg25
104		0	divDNg26
105		0	divDNg27
106		0	divDNg28
107		0	divDNg29
108		0	divDNg30
109		0	eDPg0
110		0	eDPg1
111		0	eDPg2
112		0	eDPg3
113		0	eDPg4
114		0	eDPg5
115		0	eDPg6
116		0	eDPg7
117		0	eDPg8
118		0	eDPg9
119		0	eDPg10

